"MagID";"MagLbl";"Ville";"DeptCd";"Secteur";"SurfM2";"DtOuvert"
"M01";"AltiSport Lille";"Lille";"59";"Nord-Ouest";"750";"17-07-2012"
"M02";"AltiSport Rouen";"Rouen";"76";"Nord-Ouest";"550";"09-12-2015"
"M03";"AltiSport Rennes";"Rennes";"35";"Nord-Ouest";"550";"08-03-2012"
"M04";"AltiSport Nantes";"Nantes";"44";"Nord-Ouest";"550";"26-05-2012"
"M05";"AltiSport Strasbourg";"Strasbourg";"67";"Nord-Est";"550";"16-01-2020"
"M06";"AltiSport Reims";"Reims";"51";"Nord-Est";"700";"29-09-2020"
"M07";"AltiSport Metz";"Metz";"57";"Nord-Est";"250";"17-06-2020"
"M08";"AltiSport Nancy";"Nancy";"54";"Nord-Est";"700";"03-08-2017"
"M09";"AltiSport Dijon";"Dijon";"21";"Nord-Est";"400";"11-07-2017"
"M10";"AltiSport Paris Bastille";"Paris";"75";"Île-de-France";"300";"31-10-2018"
"M11";"AltiSport Paris Nation";"Paris";"75";"Île-de-France";"250";"21-04-2019"
"M12";"AltiSport Annecy";"Annecy";"74";"Sud-Est";"850";"16-03-2019"
"M13";"AltiSport Chamonix";"Chamonix";"74";"Sud-Est";"850";"14-09-2017"
"M14";"AltiSport Grenoble";"Grenoble";"38";"Sud-Est";"550";"03-05-2016"
"M15";"AltiSport Lyon";"Lyon";"69";"Sud-Est";"650";"05-07-2015"
"M16";"AltiSport Nice";"Nice";"06";"Sud-Est";"750";"29-05-2017"
"M17";"AltiSport Marseille";"Marseille";"13";"Sud-Est";"400";"20-05-2017"
"M18";"AltiSport Clermont-Ferrand";"Clermont-Ferrand";"63";"Sud-Est";"250";"19-02-2020"
"M19";"AltiSport Toulouse";"Toulouse";"31";"Sud-Ouest";"850";"05-04-2021"
"M20";"AltiSport Bordeaux";"Bordeaux";"33";"Sud-Ouest";"300";"15-02-2019"
"M21";"AltiSport Montpellier";"Montpellier";"34";"Sud-Ouest";"450";"17-01-2015"
"M22";"AltiSport Bayonne";"Bayonne";"64";"Sud-Ouest";"850";"20-08-2015"
"M23";"AltiSport Pau";"Pau";"64";"Sud-Ouest";"750";"23-06-2019"
"M24";"AltiSport Limoges";"Limoges";"87";"Sud-Ouest";"600";"17-03-2020"
"M25";"AltiSport Tours";"Tours";"37";"Sud-Ouest";"550";"08-03-2019"
