"ProdID";"PrdLbl";"CatCd";"CatLbl";"SbCat";"Marque";"PU_TTC";"CstA"
"P0001";"AltiPro Skis de fond M821";"SKI";"Ski";"Skis de fond";"AltiPro";"1055,00";"627,64"
"P0002";"AltiPro Chaussures ski M707";"SKI";"Ski";"Chaussures ski";"AltiPro";"700,00";"352,76"
"P0003";"PeakLine Fixations M782";"SKI";"Ski";"Fixations";"PeakLine";"710,00";"395,33"
"P0004";"PeakLine Skis alpins M474";"SKI";"Ski";"Skis alpins";"PeakLine";"960,00";"561,87"
"P0005";"OraFlex Skis alpins M308";"SKI";"Ski";"Skis alpins";"OraFlex";"325,00";"148,71"
"P0006";"PeakLine Skis de fond M955";"SKI";"Ski";"Skis de fond";"PeakLine";"1075,00";"657,19"
"P0007";"Vertigo Skis alpins M808";"SKI";"Ski";"Skis alpins";"Vertigo";"955,00";"443,15"
"P0008";"NordX Skis alpins M568";"SKI";"Ski";"Skis alpins";"NordX";"495,00";"243,76"
"P0009";"AltiPro Chaussures ski M983";"SKI";"Ski";"Chaussures ski";"AltiPro";"505,00";"297,17"
"P0010";"Vertigo Skis alpins M338";"SKI";"Ski";"Skis alpins";"Vertigo";"955,00";"512,94"
"P0011";"NordX Fixations M239";"SKI";"Ski";"Fixations";"NordX";"1150,00";"671,97"
"P0012";"OraFlex Fixations M939";"SKI";"Ski";"Fixations";"OraFlex";"1010,00";"588,54"
"P0013";"AltiPro Skis alpins M937";"SKI";"Ski";"Skis alpins";"AltiPro";"750,00";"338,18"
"P0014";"OraFlex Skis de fond M551";"SKI";"Ski";"Skis de fond";"OraFlex";"635,00";"333,47"
"P0015";"Vertigo Boots M234";"SNB";"Snowboard";"Boots";"Vertigo";"550,00";"305,75"
"P0016";"OraFlex Planches M538";"SNB";"Snowboard";"Planches";"OraFlex";"385,00";"178,74"
"P0017";"NordX Planches M102";"SNB";"Snowboard";"Planches";"NordX";"450,00";"256,83"
"P0018";"AltiPro Boots M986";"SNB";"Snowboard";"Boots";"AltiPro";"865,00";"441,11"
"P0019";"NordX Planches M994";"SNB";"Snowboard";"Planches";"NordX";"535,00";"307,48"
"P0020";"AltiPro Fixations SB M620";"SNB";"Snowboard";"Fixations SB";"AltiPro";"385,00";"217,97"
"P0021";"PeakLine Planches M788";"SNB";"Snowboard";"Planches";"PeakLine";"410,00";"189,41"
"P0022";"NordX Boots M901";"SNB";"Snowboard";"Boots";"NordX";"430,00";"205,70"
"P0023";"Vertigo Boots M618";"SNB";"Snowboard";"Boots";"Vertigo";"700,00";"404,57"
"P0024";"AltiPro Fixations SB M979";"SNB";"Snowboard";"Fixations SB";"AltiPro";"770,00";"465,89"
"P0025";"OraFlex Bâtons M122";"RAN";"Randonnée";"Bâtons";"OraFlex";"55,00";"32,37"
"P0026";"Vertigo Chaussures rando M898";"RAN";"Randonnée";"Chaussures rando";"Vertigo";"275,00";"137,45"
