"VteID";"DtVte";"Canal";"StatutCde";"ProdID";"Qt";"TxRem";"MttBrutTTC";"MttTTcNet";"CstLigne";"MagID";"VndID";"CustNo"
"V000001";"01-01-2024";"Magasin";"livree";"P0009";"2";"0,00";"1010,00";"1010,00";"594,34";"M20";"V48";"C0192"
"V000002";"01-01-2024";"MAGASIN";"EnCours";"P0020";"4";"0,00";"1540,00";"1540,00";"871,88";"M03";"V06";"C0018"
"V000003";"01-01-2024";"Web";"Livree";"P0010";"2";"5,00";"1910,00";"1814,50";"1025,88";"M02";"V04";"C0139"
"V000004";"01-01-2024";"WEB";"EnCours";"P0008";"2";"0,00";"990,00";"990,00";"487,52";"M12";"V26";"C0118"
"V000005";"01-01-2024";"Magasin";"Livree";"P0003";"1";"0,00";"710,00";"710,00";"395,33";"M05";"V10";"C0060"
"V000006";"01-01-2024";"Magasin";"LIVREE";"P0002";"2";"0,00";"1400,00";"1400,00";"705,52";"M18";"V44";"C0217"
"V000007";"01-01-2024";"magasin";"Livree";"P0024";"1";"5,00";"770,00";"731,50";"465,89";"M05";"V10";"C0013"
"V000008";"01-01-2024";"Magasin";"LIVREE";"P0061";"2";"0,00";"280,00";"280,00";"150,94";"M12";"V27";"C0100"
"V000009";"01-01-2024";"Magasin";"LIVREE";"P0021";"1";"0,00";"410,00";"410,00";"189,41";"M13";"V30";"C0169"
"V000010";"01-01-2024";"Magasin";"LIVREE";"P0007";"2";"5,00";"1910,00";"1814,50";"886,30";"M04";"V08";"C0148"
"V000011";"01-01-2024";"web";"Livree";"P0015";"3";"5,00";"1650,00";"1567,50";"917,25";"M16";"V39";"C0099"
"V000012";"01-01-2024";"Web";"livree";"P0017";"2";"10,00";"900,00";"810,00";"513,66";"M20";"V50";"C0087"
"V000013";"01-01-2024";"Web";"Livree";"P0013";"2";"0,00";"1500,00";"1500,00";"676,36";"M17";"V40";"C0098"
"V000014";"01-01-2024";"magasin";"Livree";"P0007";"1";"0,00";"955,00";"955,00";"443,15";"M09";"V19";"C0214"
"V000015";"01-01-2024";"magasin";"Livree";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M09";"V18";"C0031"
"V000016";"01-01-2024";"Magasin";"Livree";"P0051";"1";"5,00";"155,00";"147,25";"77,85";"M11";"V23";"C0183"
"V000017";"01-01-2024";"magasin";"Annulee";"P0053";"2";"0,00";"310,00";"310,00";"166,02";"M20";"V48";"C0124"
"V000018";"01-01-2024";"Magasin";"LIVREE";"P0059";"1";"0,00";"40,00";"40,00";"19,23";"M16";"V37";"C0186"
"V000019";"01-01-2024";"Web";"Livree";"P0057";"1";"0,00";"20,00";"20,00";"10,89";"M02";"V04";"C0003"
"V000020";"01-01-2024";"magasin";"livree";"P0010";"1";"5,00";"955,00";"907,25";"512,94";"M07";"V15";"C0001"
"V000021";"02-01-2024";"magasin";"encours";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M06";"V13";"C0192"
"V000022";"02-01-2024";"Magasin";"Livree";"P0063";"2";"5,00";"210,00";"199,50";"116,42";"M22";"V53";"C0069"
"V000023";"02-01-2024";"Magasin";"livree";"P0001";"2";"0,00";"2110,00";"2110,00";"1255,28";"M03";"V07";"C0219"
